turn_angle,w
10.70516824,1
22.60733843,1
10.85297708,1
18.48171796,1
9.959406463,1
-2.745039426,1
13.64700864,1
13.04417833,1
13.9450423,1
39.93432945,1
7.608716889,1
4.558113774,1
22.70609654,1
9.070263672,1
18.96462898,1
-9.280828213,1
46.28779546,1
6.005550218,1
11.69666507,1
13.59417292,1
22.77545557,1
16.29696002,1
14.04807839,1
22.32000928,1
17.6654015,1
6.461801592,1
28.9978785,1
17.92282561,1
23.23641847,1
12.43653476,1
10.85373692,1
12.87399276,1
15.83097946,1
12.15611501,1
17.31534884,1
26.83455663,1
10.56201004,1
18.40895748,1
22.34537591,1
8.806242795,1
22.78762345,1
15.1349139,1
19.17905999,1
10.96081398,1
3.892488198,1
12.98507036,1
12.59347394,1
12.69141866,1
24.95395753,1
11.16550716,1
15.68648199,1
15.02028605,1
8.137932771,1
16.63137639,1
8.319368813,1
9.85927319,1
8.265620565,1
7.546073766,1
-4.382587453,1
15.65582794,1
5.241103101,1
11.94031768,1
18.00203772,1
15.76845616,1
22.06982167,1
27.00835507,1
19.00001557,1
18.17823772,1
15.81079153,1
16.54890858,1
23.92319068,1
18.64487893,1
15.67399184,1
15.19598414,1
29.50973015,1
24.7016814,1
28.64776389,1
14.45052777,1
2.372646923,0
7.563033918,0
-1.496084809,0
8.851428412,0
3.842159107,0
13.72502906,0
-4.248271529,0
3.314828133,0
3.312760853,0
22.040316,0
2.297806643,0
16.27514363,0
9.840266246,0
12.92424164,0
-0.903831049,0
2.138160567,0
-3.405007396,0
15.55430205,0
7.4275651,0
12.67217713,0
18.49969369,0
13.12643554,0
31.74057402,0
38.09480702,0
35.40769887,0
14.63208687,0
15.53810558,0
24.62072567,0
12.74833687,0
29.24216718,0
17.55591165,0
7.772439745,0
3.611413123,0
19.46505804,0
0.245243018,0
16.79521766,0
10.1937899,0
7.427418211,0
10.90480458,0
3.28700911,0
0.936859317,0
18.20629541,0
17.30253218,0
5.507756715,0
22.90508559,0
-8.616090049,0
-0.296741304,0
-1.874836572,0
4.529879929,0
5.36891705,0
12.75973557,0
7.004097554,0
14.10004787,0
6.085217355,0
4.885387647,0
-4.709157499,0
-7.888890711,0
-5.123652518,0
12.05538723,0
30.25598485,0
9.21700032,0
35.07384839,0
31.32001183,0
40.68840254,0
16.94087426,0
15.54164247,0
16.09811742,0
38.99730831,0
22.9245566,0
28.26164004,0
3.535884563,0
6.087136665,0
26.71694433,0
-2.146753816,0
29.93797145,0
16.84784665,0
20.15544134,0
11.42090988,0
